#{"t_start": 1745501111.086573, "env_id": "None"}
r,l,t
-100.889978,100,1.879612
-100.144892,100,5.238175
-100.382369,100,7.893346
-100.333026,100,10.579799
-100.511231,100,13.271569
-100.580881,100,15.92094
-100.239149,100,18.555741
-100.264197,100,21.32216
-100.721053,100,23.989219
-100.42629,100,26.674947
-100.745362,100,29.330125
-100.25313,100,31.986844
-100.883558,100,34.644545
-100.48966,100,37.280855
-100.527117,100,39.945648
-100.194062,100,42.56905
-100.521833,100,45.206529
-100.25807,100,47.852198
-100.43749,100,50.543909
20.183992,80,52.710618
-100.644138,100,55.38453
-100.175443,100,58.047049
-100.528897,100,60.654845
12.580948,89,63.027142
-100.274057,100,65.678749
-100.457892,100,68.320691
-100.226822,100,70.959749
-100.598443,100,73.647332
-100.326831,100,76.272926
-100.225534,100,78.91111
-100.291326,100,81.546911
-100.261022,100,84.187742
-100.366191,100,86.860452
-100.988443,100,89.514895
-100.320532,100,92.189176
-100.284154,100,94.821476
-100.954546,100,97.461514
-100.944211,100,100.124086
-100.181977,100,102.775013
-100.462963,100,105.444762
-100.629761,100,108.111252
-100.309533,100,110.778163
-100.304316,100,113.482297
-100.742361,100,116.30128
-100.162981,100,119.180375
-100.218389,100,121.836213
-100.526139,100,124.5001
-100.236961,100,127.183828
-100.587711,100,129.853827
-100.423785,100,132.46941
-100.196444,100,135.139537
-100.137269,100,137.809908
-100.275251,100,140.526552
-100.389347,100,143.16125
-100.25191,100,145.820987
-100.092901,100,148.488494
-100.180343,100,151.141253
-100.122989,100,153.782832
-100.235635,100,156.476906
-100.156221,100,159.111847
-100.18638,100,161.743533
-100.108538,100,164.3681
-100.080603,100,167.011987
-100.179043,100,169.654623
-100.082649,100,172.354226
-100.139419,100,175.004915
-100.205112,100,177.62888
-100.078892,100,180.326838
-100.417855,100,182.988149
-100.190547,100,185.637863
-100.100404,100,188.3047
-100.111077,100,190.968415
-100.184544,100,193.603323
-100.109116,100,196.251616
-100.032433,100,198.959647
-100.107134,100,201.615863
-100.061241,100,204.271456
-100.190056,100,206.903413
-100.156503,100,209.527504
-100.161747,100,212.20497
-100.160449,100,214.878495
-100.191391,100,217.558562
-100.135302,100,220.206288
-100.077683,100,222.899522
-100.044226,100,225.551674
-100.113992,100,228.205913
-100.093581,100,231.022215
-100.098857,100,233.696644
-100.166135,100,236.478166
-100.157466,100,239.174156
-100.053414,100,241.871596
-100.098043,100,244.512258
-100.094928,100,247.15005
-100.390133,100,249.805174
-100.21768,100,252.484696
-100.105812,100,255.153153
-100.143824,100,257.802728
-100.122868,100,260.459879
-100.043796,100,263.113077
-100.024916,100,265.772923
-100.04081,100,268.488721
-100.056949,100,271.137638
-100.038974,100,273.767746
-100.031204,100,276.425115
-100.141259,100,279.123774
-100.098475,100,281.808945
-100.046055,100,284.480452
-100.069863,100,287.140954
-100.128512,100,289.801868
-100.039399,100,292.474686
-100.029886,100,295.147044
-100.016458,100,297.797153
-100.014363,100,300.486128
-100.003453,100,303.192055
-100.014064,100,305.868193
-100.060443,100,308.534912
-100.014875,100,311.166289
-100.018099,100,313.819845
-100.038843,100,316.44457
-100.050484,100,319.111855
-100.045745,100,321.842509
-100.034993,100,324.612554
-100.069293,100,327.272699
-100.070933,100,329.879479
-100.028606,100,332.531399
-100.022443,100,335.219745
-100.009528,100,337.895645
-99.999608,100,340.574829
-99.999608,100,343.221578
-99.999608,100,345.875728
-99.999608,100,348.59716
-99.999608,100,351.373713
-99.999608,100,354.045909
-99.999608,100,356.708487
-99.999805,100,359.353786
-99.999846,100,362.016883
-100.010215,100,364.67133
-100.017854,100,367.325037
-100.027268,100,369.986973
-100.035425,100,372.634629
-100.219303,100,375.295309
-100.547898,100,377.962997
-100.026425,100,380.615833
8.055845,91,383.032628
42.405226,59,384.637326
42.414956,59,386.224595
42.340837,59,387.804948
42.199655,59,389.361532
40.222983,61,390.976802
41.303927,60,392.618864
37.103795,64,394.359239
38.133739,63,396.056529
39.251661,62,397.728923
38.101791,63,399.425155
37.107022,64,401.178348
40.244507,61,402.820549
39.118638,62,404.457326
40.221308,61,406.089224
40.345227,61,407.743108
40.228304,61,409.377312
38.09653,63,411.071488
39.148499,62,412.724848
37.264363,64,414.448542
38.312691,63,416.137036
40.251536,61,417.777784
43.282957,58,419.345098
40.313386,61,420.996696
41.376855,60,422.614689
40.356966,61,424.253304
41.226481,60,425.860892
41.40632,60,427.478972
41.29275,60,429.061679
41.346757,60,430.689828
41.437826,60,432.294088
41.196132,60,433.907451
40.286426,61,435.520995
40.320277,61,437.161633
40.124742,61,438.793171
40.336845,61,440.436017
40.218538,61,442.071382
39.286848,62,443.753906
40.219979,61,445.365179
39.171389,62,447.005189
37.241265,64,448.720486
38.277839,63,450.425664
39.301204,62,452.104145
39.279918,62,453.743945
40.077613,61,455.370395
40.347169,61,457.006282
41.29714,60,458.624506
40.120029,61,460.259107
40.242831,61,461.889062
39.147317,62,463.566693
38.281025,63,465.24504
38.260766,63,466.920937
38.107483,63,468.614939
38.158142,63,470.320964
38.257458,63,472.009285
38.143211,63,473.681333
37.211841,64,475.403868
38.122078,63,477.126288
39.150232,62,478.770922
39.133264,62,480.390443
40.318197,61,482.030096
41.136374,60,483.652272
41.2291,60,485.254405
40.239452,61,486.875121
39.249874,62,488.562477
38.147073,63,490.249886
38.145553,63,491.922062
38.113931,63,493.610095
39.283924,62,495.312858
38.138456,63,496.991101
39.142146,62,498.661295
39.318097,62,500.313325
40.253202,61,501.958935
40.245484,61,503.606672
40.233688,61,505.231851
41.228087,60,506.843714
41.383719,60,508.465272
41.189968,60,510.079523
41.138578,60,511.693833
41.136944,60,513.29825
41.229787,60,514.901361
40.265132,61,516.526925
40.252281,61,518.18753
39.132535,62,519.837286
38.270458,63,521.544765
39.299038,62,523.214185
40.222174,61,524.866293
40.263761,61,526.478162
41.212256,60,528.103713
41.283784,60,529.703553
41.235468,60,531.322643
40.221101,61,532.944608
40.222133,61,534.594676
39.267069,62,536.225988
39.152138,62,537.886732
39.258751,62,539.684026
40.240876,61,541.374452
39.158535,62,543.028752
40.28109,61,544.658405
41.309972,60,546.276108
41.303981,60,547.873874
41.377726,60,549.488627
