total_reward,energy,overshoot,vel_pen,sym_pen
-100.8900,17.8122,0.0000,0.0000,0.0000
-100.1449,2.9102,0.0000,0.0000,0.0000
-100.3824,7.6607,0.0000,0.0000,0.0000
-100.3330,6.6728,0.0000,0.0000,0.0000
-100.5112,10.2371,0.0000,0.0000,0.0000
-100.5809,11.6295,0.0000,0.0000,0.0000
-100.2391,4.7951,0.0000,0.0000,0.0000
-100.2642,5.2965,0.0000,0.0000,0.0000
-100.7211,14.4342,0.0000,0.0000,0.0000
-100.4263,8.5376,0.0000,0.0000,0.0000
-100.7454,14.9203,0.0000,0.0000,0.0000
-100.2531,5.0750,0.0000,0.0000,0.0000
-100.8836,17.6846,0.0000,0.0000,0.0000
-100.4897,9.8065,0.0000,0.0000,0.0000
-100.5271,10.5556,0.0000,0.0000,0.0000
-100.1941,3.8933,0.0000,0.0000,0.0000
-100.5218,10.4499,0.0000,0.0000,0.0000
-100.2581,5.1743,0.0000,0.0000,0.0000
-100.4375,8.7621,0.0000,0.0000,0.0000
20.1840,22.5806,0.0161,0.0104,0.0153
-100.6441,12.8950,0.0000,0.0000,0.0000
-100.1754,3.5198,0.0000,0.0000,0.0000
-100.5289,10.5917,0.0000,0.0000,0.0000
12.5809,23.6115,0.0521,0.0182,0.0424
-100.2741,5.4938,0.0000,0.0000,0.0000
-100.4579,9.1702,0.0000,0.0000,0.0000
-100.2268,4.5491,0.0000,0.0000,0.0000
-100.5984,11.9817,0.0000,0.0000,0.0000
-100.3268,6.5491,0.0000,0.0000,0.0000
-100.2255,4.5229,0.0000,0.0000,0.0000
-100.2913,5.8395,0.0000,0.0000,0.0000
-100.2610,5.2332,0.0000,0.0000,0.0000
-100.3662,7.3373,0.0000,0.0000,0.0000
-100.9884,19.7822,0.0000,0.0000,0.0000
-100.3205,6.4236,0.0000,0.0000,0.0000
-100.2842,5.6965,0.0000,0.0000,0.0000
-100.9545,19.1036,0.0000,0.0000,0.0000
-100.9442,18.8977,0.0000,0.0000,0.0000
-100.1820,3.6518,0.0000,0.0000,0.0000
-100.4630,9.2709,0.0000,0.0000,0.0000
-100.6298,12.6068,0.0000,0.0000,0.0000
-100.3095,6.2030,0.0000,0.0000,0.0000
-100.3043,6.0995,0.0000,0.0000,0.0000
-100.7424,14.8607,0.0000,0.0000,0.0000
-100.1630,3.2711,0.0000,0.0000,0.0000
-100.2184,4.3807,0.0000,0.0000,0.0000
-100.5261,10.5356,0.0000,0.0000,0.0000
-100.2370,4.7515,0.0000,0.0000,0.0000
-100.5877,11.7680,0.0000,0.0000,0.0000
-100.4238,8.4889,0.0000,0.0000,0.0000
-100.1964,3.9408,0.0000,0.0000,0.0000
-100.1373,2.7583,0.0000,0.0000,0.0000
-100.2753,5.5167,0.0000,0.0000,0.0000
-100.3893,7.7994,0.0000,0.0000,0.0000
-100.2519,5.0506,0.0000,0.0000,0.0000
-100.0929,1.8708,0.0000,0.0000,0.0000
-100.1803,3.6192,0.0000,0.0000,0.0000
-100.1230,2.4715,0.0000,0.0000,0.0000
-100.2356,4.7255,0.0000,0.0000,0.0000
-100.1562,3.1372,0.0000,0.0000,0.0000
-100.1864,3.7395,0.0000,0.0000,0.0000
-100.1085,2.1823,0.0000,0.0000,0.0000
-100.0806,1.6235,0.0000,0.0000,0.0000
-100.1790,3.5939,0.0000,0.0000,0.0000
-100.0826,1.6647,0.0000,0.0000,0.0000
-100.1394,2.8002,0.0000,0.0000,0.0000
-100.2051,4.1151,0.0000,0.0000,0.0000
-100.0789,1.5893,0.0000,0.0000,0.0000
-100.4179,8.3702,0.0000,0.0000,0.0000
-100.1905,3.8238,0.0000,0.0000,0.0000
-100.1004,2.0197,0.0000,0.0000,0.0000
-100.1111,2.2325,0.0000,0.0000,0.0000
-100.1845,3.7033,0.0000,0.0000,0.0000
-100.1091,2.1942,0.0000,0.0000,0.0000
-100.0324,0.6588,0.0000,0.0000,0.0000
-100.1071,2.1543,0.0000,0.0000,0.0000
-100.0612,1.2357,0.0000,0.0000,0.0000
-100.1901,3.8141,0.0000,0.0000,0.0000
-100.1565,3.1409,0.0000,0.0000,0.0000
-100.1617,3.2471,0.0000,0.0000,0.0000
-100.1604,3.2208,0.0000,0.0000,0.0000
